cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV_x,PONAV,POAV_y
MOF_net-wna_node1-N17_edge1-none,MOF_net-wna_node1-N17_edge1-none.cif,8.26228,6.84967,8.2404,1.08265,1836.43,1696.23,0.4427,0.408904078,0.4427,0.0,0.408903,0.0,0.408903,0.0,
MOF_net-wnd_node1-N14_edge1-none,MOF_net-wnd_node1-N14_edge1-none.cif,6.80523,5.67426,6.7983,1.32478,1486.32,1121.93,0.3666,0.276725192,0.3475,0.0191,0.262307,0.0144174,0.262307,632.696,
MOF_net-xfh_node1-N32_edge1-none,MOF_net-xfh_node1-N32_edge1-none.cif,7.38169,4.78318,7.38169,1.25142,978.192,781.667,0.3201,0.255789423,0.2798,0.0403,0.223586,0.0322035,0.223586,416.69,
MOF_net-xfr_node1-N32_edge1-none,MOF_net-xfr_node1-N32_edge1-none.cif,6.0573,4.46745,5.51537,1.13458,806.606,710.929,0.2752,0.242556717,0.1589,0.1163,0.140052,0.102505,0.140052,2652.68,
MOF_net-xfs_node1-N32_edge1-none,MOF_net-xfs_node1-N32_edge1-none.cif,6.6552,4.43631,5.29821,1.08731,1399.02,1286.69,0.2718,0.249974708,0.2718,0.0,0.249976,0.0,0.249976,0.0,
MOF_net-zfb_node1-N0_edge1-none,MOF_net-zfb_node1-N0_edge1-none.cif,6.25416,4.46996,6.25078,1.15484,1195.95,1035.6,0.3372,0.291988501,0.3257,0.0115,0.282031,0.00995811,0.282031,56.1027,
MOF_net-zff_node1-N85_edge1-none,MOF_net-zff_node1-N85_edge1-none.cif,12.62382,5.26847,12.62382,0.722903,1932.12,2672.73,0.5614,0.77659105,0.5614,0.0,0.776591,0.0,0.776591,0.0,
MOF_net-zfj_node1-N0_edge1-none,MOF_net-zfj_node1-N0_edge1-none.cif,7.84528,4.18251,7.83646,1.18732,1242.97,1046.87,0.368,0.309941717,0.368,0.0,0.309942,0.0,0.309942,0.0,
MOF_net-zfj_node1-N86_edge1-none,MOF_net-zfj_node1-N86_edge1-none.cif,6.40163,4.2335,6.40023,1.13648,1066.86,938.742,0.3028,0.266436717,0.3028,0.0,0.266437,0.0,0.266437,0.0,
MOF_net-zfl_node1-N85_edge1-none,MOF_net-zfl_node1-N85_edge1-none.cif,6.3053,4.23875,6.29069,1.0627,1059.57,997.048,0.2648,0.249176626,0.2558,0.009,0.240707,0.00846897,0.240707,80.8202,
