cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV
MOF_net-dft_node1-N42_edge1-none,MOF_net-dft_node1-N42_edge1-none.cif,5.57459,2.92303,4.14443,1.41613,0.0,0.0,0.133,0.093917931,0.0,0.133,0.0,0.0939177,0.0,581.549
MOF_net-dia_node1-N4_edge1-none,MOF_net-dia_node1-N4_edge1-none.cif,3.61882,2.34041,3.61882,1.61693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-dmp_node1-N24_edge1-none,MOF_net-dmp_node1-N24_edge1-none.cif,2.20402,1.60379,2.16073,2.30689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-dmp_node1-N29_edge1-none,MOF_net-dmp_node1-N29_edge1-none.cif,3.83127,2.73129,3.83127,2.20023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-dmp_node1-N42_edge1-none,MOF_net-dmp_node1-N42_edge1-none.cif,2.24882,1.2801,2.23386,2.9547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-dmp_node1-N4_edge1-none,MOF_net-dmp_node1-N4_edge1-none.cif,3.64974,0.72263,3.64373,2.32394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-dmp_node1-N78_edge1-none,MOF_net-dmp_node1-N78_edge1-none.cif,4.03245,3.59259,4.03245,1.82395,0.0,0.0,0.0522,0.028619206,0.0,0.0522,0.0,0.0286192,0.0,58.3236
MOF_net-ecc_node1-N80_edge1-none,MOF_net-ecc_node1-N80_edge1-none.cif,3.90172,2.84465,3.88573,1.99217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ecf_node1-N76_edge1-none,MOF_net-ecf_node1-N76_edge1-none.cif,7.27397,3.36486,7.24807,1.37649,0.0,0.0,0.2206,0.160262697,0.0,0.2206,0.0,0.160262,0.0,807.299
MOF_net-ech_node1-N77_edge1-none,MOF_net-ech_node1-N77_edge1-none.cif,6.98186,3.10139,6.96509,1.4642,0.0,0.0,0.1144,0.078131403,0.0,0.1144,0.0,0.0781316,0.0,1574.31
MOF_net-eci_node1-N76_edge1-none,MOF_net-eci_node1-N76_edge1-none.cif,4.41793,3.47293,4.23078,1.57939,0.0,0.0,0.0797,0.05046252,0.0,0.0797,0.0,0.0504625,0.0,169.465
MOF_net-ecn_node1-N77_edge1-none,MOF_net-ecn_node1-N77_edge1-none.cif,4.77186,2.53016,4.77155,1.7366,0.0,0.0,0.0092,0.005297708,0.0,0.0092,0.0,0.00529772,0.0,40.0298
MOF_net-ecv_node1-N22_edge1-none,MOF_net-ecv_node1-N22_edge1-none.cif,4.10765,3.42966,4.10755,1.60787,0.0,0.0,0.0231,0.014366833,0.0,0.0231,0.0,0.0143669,0.0,237.353
MOF_net-ecv_node1-N76_edge1-none,MOF_net-ecv_node1-N76_edge1-none.cif,4.68318,2.7745,3.44899,1.50505,0.0,0.0,0.0325,0.021593967,0.0,0.0325,0.0,0.021594,0.0,290.071
MOF_net-ecv_node1-N77_edge1-none,MOF_net-ecv_node1-N77_edge1-none.cif,4.72216,2.22482,4.26406,1.56283,0.0,0.0,0.0783,0.050101419,0.0,0.0783,0.0,0.0501014,0.0,673.01
MOF_net-fcs_node1-N86_edge1-none,MOF_net-fcs_node1-N86_edge1-none.cif,7.72174,2.7652,7.71289,1.14472,0.0,0.0,0.183,0.159864421,0.0,0.183,0.0,0.159864,0.0,4576.79
MOF_net-fcu_node1-N2_edge1-E10,MOF_net-fcu_node1-N2_edge1-E10.cif,9.44986,3.42935,9.39259,1.49968,0.0,0.0,0.3126,0.208444468,0.0,0.3126,0.0,0.208444,0.0,2797.27
